"","x"
"81","pedah gs di vaksin nyeri awak sugan teh rek jadi titan singhoreng asup angin"
"82","yuk bisa yuk vaksin dlu siapa tau jd titan hihi canda <U+0001F601>"
"83","assalamualaikum
kata ilham sapa yang cita citanya di vaksinjadi titan"
"84","aku nak cucuk vaksin kejinannak jadi war hammer titan"
"85","info vaksin warhammer titanmentolo tak petel ndas e arek iki"
"86","ah buruan kak 
aku pengen di vaksin
aku pengen jadi titan
foundingtitan"
"87","bayangin disuntik vaksin malah jadi titan"
"88","udah seminggu tapi liat post orang ngomong kalo di vaksin nanti jadi titan jadi mikir kok orang bisa gitu ya mikiri…"
"89","ikut vaksin biar jadi titan

ekspektasirealita"
"90","saya nggak percaya vaksin bisa disisipkan barcoderfid untuk melacak seseorang
tapi kalok vaksi…"
"91","semoga sesudah di suntik vaksin nantiaku jadi punya armor titan"
"92","btw gw paling benci kalau ada yg mau edukasi vaksin bawa2 anime attack on titan

kalau baca komiknya orang yang disuntik s…"
"93","besok vaksin aja dek kan jadi titan"
"94","jangan sampai kau menyesal nanti pes kitorang dah warning awal2 nanti lepas vaksin kau jadi titan aku tetak je leher kau <U+0001F624><U+261D><U+FE0F>"
"95","papakunnti klo di vaksin mau egk
akubleh tp aku mau jd founding titan yh

papaku"
"96","afjslslabs ga tau tapi tadu ngakak banget dia ngomong ke dokter yg mau vaksin juga gini dok ga takut jadi titan <U+0001F602><U+0001F602><U+0001F602><U+0001F602>"
"97","kapan dapet vaksin ga sabar pengen jadi titan shifter"
"98","btw gw paling benci kalau ada yg mau edukasi vaksin bawa2 anime attack on titan

kalau baca komiknya orang yang…"
"99","<U+0001F923><U+0001F923><U+0001F923><U+0001F923><U+0001F923> emang ada ya yang abis di vaksin jadi titan hahah"
"100","takut banget kalau dia di vaksin jd titan beneran wkwk"
"101","tidak sekalian diberi vaksin agar menjadi titan"
"102","dibanding isu suntik vaksin lantas jd antikris mending jadi titan"
"103","kenapa tak nak cakap after vaksin jadi titan je terus <U+0001F62A>"
"104","tapi menariknya sword a online ini narik penonton anime baru kebanyakan dari kalangan gamer kalau attack on tit…"
"105","lagi bucin bgt ama warhammer bismillah klo bsk dapet auntik vaksin jd warhammer titan"
"106","kalau baca berita sih kantorku harusnya masuk tahap kedua tahap peama kan tenaga kesehatan boleh g…"
"107","gmau di vaksin ak mau jadi titan aja"
"108","dari segi bisnis vaksin ga aman lebih baik pakai obat herbal dari
dari segi politik vaksin ini bu…"
"109","emang kalo suntik vaksin bisa jadi titan"
"110","bayar vaksin suntik titan"
"111","kalau disuntik vaksin bisa bikin aku berubah jadi war hammer titan aku bersedia kalau jadi titan biasa atau abnormal aku tidak bersedia<U+0001F97A>"
"112","mantap mbak ntar pas disuntik vaksin biar tau mau milih jadi titan apa wkwkwk"
"113","andai yang dihirup itu vaksin datang sebagai fakboi pulangnya jadi titan"
"114","abis vaksin jadi titan gak teh <U+0001F923>"
"115","betul doh ni pastu nanti dia bawak kau pergi 1 tempat yang kau tak tahu pastu kena cucuk vaksin pastu dia campak…"
"116","iki akibat disuntik vaksin po dadi titan wkakakaka"
"117","sudah vaksin yey dan ga berubah jadi titan <U+0001F642>"
"118","gw gamau vaksin ntar gw berubah jadi titan tyra"
"119","15 menit paska vaksin

cuma pegel doang di daerah vaksin sama kayak vaksin2 lainnya

ga berubah jadi titan apalagi jadi zombie"
"120","setelah di vaksin bisa jadi titan gk pak"
"121","klo di suntik vaksin nanti bakal berubah jadi titan gitu<U+0001F923>"
"122","kong kirakira pas vaksin smo jadi titan haha lucuuuu skali <U+0001F61D>"
"123","knp org indo sllu nethink dulu minta vaksin pas s ada smua lari tda ada yg mau bkg konspirasi sndiri katanya ad…"
"124","lo vaksin aja sono mo sapa tau jadi titan entar <U+0001F440><U+0001F92D>"
"125","ni pasti abis di vaksin suda muncul rupa titan soalnya"
"126","ini januari ngapa aot in real life gini dah

suntik vaksin setara suntik jd titan lah indonesian vs bule setara e…"
"127","tara kembali ke sofa tempat ia duduk sebelumnya melanjutkan acara makan paginya dengan serealnya yang sudah seteng…"
"128","kita bersangka baik mungkin dia tengah make sure vaksin tak tukarkan orang jadi titan<U+0001F607>"
"129","cepet vaksin biar jadi titan"
"130","mereka mana nonton bang eno ngei aot aja mungkin gara2 viral suntik vaksin titan"
"131","usai disuntik vaksin sinovac wali kota tangsel airin dijuluki female titan

"
