"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"247","RT @berflovver: bro bro liat bro gw punya meme aot nih bro aaaaa vaksin titan lucu banget bro aaaaa buruan ritwit bro aaaaarrrgghhh",FALSE,0,NA,2021-01-17 01:56:11,FALSE,NA,"1350622917046878208",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","FanQ420",58,TRUE,FALSE,NA,NA
"248","RT @berflovver: bro bro liat bro gw punya meme aot nih bro aaaaa vaksin titan lucu banget bro aaaaa buruan ritwit bro aaaaarrrgghhh",FALSE,0,NA,2021-01-17 01:53:44,FALSE,NA,"1350622301591539715",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","gianeteka",58,TRUE,FALSE,NA,NA
"249","RT @Txtbyreyy: Sesudah gua di suntik vaksin, semoga dapet armor Titan.",FALSE,0,NA,2021-01-17 01:33:27,FALSE,NA,"1350617196242874370",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","heyyohap",56,TRUE,FALSE,NA,NA
"250","RT @podcastretropus: Emang bener ya abis disuntik vaksin bisa berubah jadi Titan?

#KomikMasMas https://t.co/oMXveFLkr1",FALSE,0,NA,2021-01-17 01:27:41,FALSE,NA,"1350615745860812803",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","pandoe91",46,TRUE,FALSE,NA,NA
"251","Bangke lawakan2 tentang vaksin yg bisa buat kita jadi zombie dan titan, sudah sampai ditelangi orang tuaku, dan say… https://t.co/Oedtn79MyE",FALSE,0,NA,2021-01-17 01:26:00,TRUE,NA,"1350615322097713152",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","uraoraora",0,FALSE,FALSE,NA,NA
"252","RT @Txtbyreyy: Sesudah gua di suntik vaksin, semoga dapet armor Titan.",FALSE,0,NA,2021-01-17 01:16:37,FALSE,NA,"1350612961736331267",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mevairy",56,TRUE,FALSE,NA,NA
"253","RT @Txtbyreyy: Sesudah gua di suntik vaksin, semoga dapet armor Titan.",FALSE,0,NA,2021-01-17 01:07:17,FALSE,NA,"1350610610531176450",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","gillgamesh_",56,TRUE,FALSE,NA,NA
"254","RT @Semputra18: Sesuai anjuran pemerintah d suntik vaksin sinovac,tpi dokternya tenang ini gk tremor.
Apakah pak polisi ini akn jdi titan?…",FALSE,0,NA,2021-01-16 23:27:28,FALSE,NA,"1350585490668359681",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","FatjrinLaily",46,TRUE,FALSE,NA,NA
"255","RT @berflovver: bro bro liat bro gw punya meme aot nih bro aaaaa vaksin titan lucu banget bro aaaaa buruan ritwit bro aaaaarrrgghhh",FALSE,0,NA,2021-01-16 23:05:57,FALSE,NA,"1350580078669807617",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","hanamaskuy",58,TRUE,FALSE,NA,NA
"256","RT @berflovver: bro bro liat bro gw punya meme aot nih bro aaaaa vaksin titan lucu banget bro aaaaa buruan ritwit bro aaaaarrrgghhh",FALSE,0,NA,2021-01-16 21:10:52,FALSE,NA,"1350551115784286208",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","eldraago",58,TRUE,FALSE,NA,NA
"257","RT @Txtbyreyy: Sesudah gua di suntik vaksin, semoga dapet armor Titan.",FALSE,0,NA,2021-01-16 19:59:53,FALSE,NA,"1350533250989506561",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","EritaaR",56,TRUE,FALSE,NA,NA
"258","hibur dong dengan meme vaksin menjadi titan",FALSE,0,NA,2021-01-16 19:40:26,FALSE,NA,"1350528356224176128",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","daninugh",0,FALSE,FALSE,NA,NA
"259","RT @berflovver: bro bro liat bro gw punya meme aot nih bro aaaaa vaksin titan lucu banget bro aaaaa buruan ritwit bro aaaaarrrgghhh",FALSE,0,NA,2021-01-16 19:35:09,FALSE,NA,"1350527025799262208",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","vinseeeeen",58,TRUE,FALSE,NA,NA
"260","@cursedkidd @KAI121 kusus km harus vaksin serum titan ndod soale raimu kayak titan picek.",FALSE,3,"cursedkidd",2021-01-16 19:02:56,FALSE,"1350517324827160576","1350518919660937216","1142426049470296064","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","samakemaren",0,FALSE,FALSE,NA,NA
"261","Update apa apa salah !
kalo update di vaksin jadi titan : orang sekitaran kantor ngedumel
Kalo update perasaan atau… https://t.co/CcJe9Cte3A",FALSE,0,NA,2021-01-16 18:48:53,TRUE,NA,"1350515383975854080",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ekhieisandia",0,FALSE,FALSE,NA,NA
